block_size,high_variance,rho_block,alternative,R,Li-Chen,Max-bootstrap,Ours-C(0.3),Ours-C(0.5),Ours-C(0.7),Ours-I,Raw-L2,Wang-NR
80,25.0,0.0,null,500,0.062,0.042,0.064,0.066,0.068,0.0,0.0,0.01
80,25.0,0.05,alternative,500,0.066,0.068,0.574,0.594,0.58,0.0,0.0,0.012
80,25.0,0.1,alternative,500,0.072,0.188,0.786,0.784,0.788,0.196,0.0,0.012
80,25.0,0.15,alternative,500,0.076,0.534,0.914,0.916,0.91,0.986,0.0,0.02
80,25.0,0.2,alternative,500,0.046,0.874,0.938,0.932,0.926,1.0,0.0,0.006
80,25.0,0.25,alternative,500,0.066,0.99,0.952,0.958,0.946,1.0,0.0,0.018
80,25.0,0.3,alternative,500,0.11,1.0,0.986,0.978,0.984,1.0,0.0,0.02
80,25.0,0.35,alternative,500,0.096,1.0,0.974,0.98,0.978,1.0,0.0,0.016
80,25.0,0.4,alternative,500,0.102,1.0,0.986,0.978,0.984,1.0,0.0,0.028
80,25.0,0.5,alternative,500,0.154,1.0,0.984,0.982,0.986,1.0,0.0,0.042
