family,rho0,rho_alt,method,R,rejection rate,MCSE
equicorrelation,0.5,0.1,Li-Chen,500,1.0,0.0
equicorrelation,0.5,0.1,Max-bootstrap,500,1.0,0.0
equicorrelation,0.5,0.1,Ours-C(0.3),500,1.0,0.0
equicorrelation,0.5,0.1,Ours-C(0.5),500,1.0,0.0
equicorrelation,0.5,0.1,Ours-C(0.7),500,1.0,0.0
equicorrelation,0.5,0.1,Ours-I,500,1.0,0.0
equicorrelation,0.5,0.1,Wang-NR,500,1.0,0.0
equicorrelation,0.5,0.2,Li-Chen,500,1.0,0.0
equicorrelation,0.5,0.2,Max-bootstrap,500,0.986,0.0052543315464481325
equicorrelation,0.5,0.2,Ours-C(0.3),500,1.0,0.0
equicorrelation,0.5,0.2,Ours-C(0.5),500,1.0,0.0
equicorrelation,0.5,0.2,Ours-C(0.7),500,1.0,0.0
equicorrelation,0.5,0.2,Ours-I,500,1.0,0.0
equicorrelation,0.5,0.2,Wang-NR,500,1.0,0.0
equicorrelation,0.5,0.3,Li-Chen,500,0.91,0.012798437404620923
equicorrelation,0.5,0.3,Max-bootstrap,500,0.712,0.020251222185339826
equicorrelation,0.5,0.3,Ours-C(0.3),500,0.852,0.015880554146502572
equicorrelation,0.5,0.3,Ours-C(0.5),500,0.856,0.015701210144444283
equicorrelation,0.5,0.3,Ours-C(0.7),500,0.86,0.01551773179301666
equicorrelation,0.5,0.3,Ours-I,500,0.82,0.017181385275931625
equicorrelation,0.5,0.3,Wang-NR,500,0.806,0.017684117167673367
equicorrelation,0.5,0.4,Li-Chen,500,0.326,0.020963015050321363
equicorrelation,0.5,0.4,Max-bootstrap,500,0.166,0.016639951923007473
equicorrelation,0.5,0.4,Ours-C(0.3),500,0.222,0.018585801031970616
equicorrelation,0.5,0.4,Ours-C(0.5),500,0.224,0.018645321128905237
equicorrelation,0.5,0.4,Ours-C(0.7),500,0.232,0.018877287940803362
equicorrelation,0.5,0.4,Ours-I,500,0.214,0.01834142851579451
equicorrelation,0.5,0.4,Wang-NR,500,0.202,0.01795527777562909
equicorrelation,0.5,0.5,Li-Chen,500,0.106,0.013766916866168693
equicorrelation,0.5,0.5,Max-bootstrap,500,0.072,0.011559930795640603
equicorrelation,0.5,0.5,Ours-C(0.3),500,0.056,0.010282412168358162
equicorrelation,0.5,0.5,Ours-C(0.5),500,0.054,0.010107818755794942
equicorrelation,0.5,0.5,Ours-C(0.7),500,0.06,0.010620734437881401
equicorrelation,0.5,0.5,Ours-I,500,0.06,0.010620734437881401
equicorrelation,0.5,0.5,Wang-NR,500,0.052,0.00992935043192655
equicorrelation,0.5,0.6,Li-Chen,500,0.286,0.020209106858047932
equicorrelation,0.5,0.6,Max-bootstrap,500,0.264,0.019713142824014644
equicorrelation,0.5,0.6,Ours-C(0.3),500,0.242,0.019153902996517445
equicorrelation,0.5,0.6,Ours-C(0.5),500,0.242,0.019153902996517445
equicorrelation,0.5,0.6,Ours-C(0.7),500,0.232,0.018877287940803362
equicorrelation,0.5,0.6,Ours-I,500,0.212,0.018278730809331376
equicorrelation,0.5,0.6,Wang-NR,500,0.206,0.01808668018183547
equicorrelation,0.5,0.7,Li-Chen,500,0.614,0.0217717247823869
equicorrelation,0.5,0.7,Max-bootstrap,500,0.618,0.02172905888436036
equicorrelation,0.5,0.7,Ours-C(0.3),500,0.604,0.02187162545399861
equicorrelation,0.5,0.7,Ours-C(0.5),500,0.606,0.021852414054287
equicorrelation,0.5,0.7,Ours-C(0.7),500,0.592,0.021978898971513564
equicorrelation,0.5,0.7,Ours-I,500,0.532,0.022314838112789434
equicorrelation,0.5,0.7,Wang-NR,500,0.498,0.02236050088884415
equicorrelation,0.5,0.8,Li-Chen,500,0.84,0.01639512122553536
equicorrelation,0.5,0.8,Max-bootstrap,500,0.868,0.01513776733867977
equicorrelation,0.5,0.8,Ours-C(0.3),500,0.864,0.01532997064576446
equicorrelation,0.5,0.8,Ours-C(0.5),500,0.848,0.01605590234150669
equicorrelation,0.5,0.8,Ours-C(0.7),500,0.84,0.01639512122553536
equicorrelation,0.5,0.8,Ours-I,500,0.776,0.018645321128905233
equicorrelation,0.5,0.8,Wang-NR,500,0.764,0.018989681408596616
equicorrelation,0.5,0.9,Li-Chen,500,0.942,0.010453324829928518
equicorrelation,0.5,0.9,Max-bootstrap,500,0.964,0.008331146379700699
equicorrelation,0.5,0.9,Ours-C(0.3),500,0.97,0.007628892449104264
equicorrelation,0.5,0.9,Ours-C(0.5),500,0.958,0.00897061870775924
equicorrelation,0.5,0.9,Ours-C(0.7),500,0.964,0.008331146379700699
equicorrelation,0.5,0.9,Ours-I,500,0.922,0.01199299795714149
equicorrelation,0.5,0.9,Wang-NR,500,0.918,0.012269963325128561
