"(n_1,n_2)",Dist.,Cov.,G(.3),G(.5),G(.7),I_p
"(60,60)",Gau,Eq,0.050/0.062/0.042,0.051/0.068/0.044,0.056/0.066/0.041,0.001/0.063/0.043
"(60,60)",Gau,Toe,0.052/0.042/0.054,0.056/0.046/0.056,0.061/0.046/0.057,0.000/0.000/0.011
"(60,60)",Chi,Eq,0.042/0.056/0.047,0.049/0.056/0.046,0.045/0.054/0.044,0.008/0.059/0.044
"(60,60)",Chi,Toe,0.045/0.059/0.043,0.045/0.059/0.044,0.049/0.055/0.047,0.000/0.000/0.005
"(60,60)",Lap,Eq,0.053/0.046/0.051,0.056/0.046/0.052,0.055/0.046/0.051,0.001/0.045/0.049
"(60,60)",Lap,Toe,0.054/0.060/0.059,0.052/0.056/0.058,0.056/0.060/0.054,0.000/0.000/0.007
"(80,100)",Gau,Eq,0.059/0.053/0.057,0.060/0.050/0.061,0.060/0.053/0.056,0.004/0.053/0.058
"(80,100)",Gau,Toe,0.053/0.050/0.052,0.053/0.049/0.054,0.056/0.051/0.056,0.000/0.000/0.015
"(80,100)",Chi,Eq,0.050/0.069/0.052,0.053/0.064/0.053,0.048/0.061/0.057,0.006/0.073/0.053
"(80,100)",Chi,Toe,0.044/0.054/0.056,0.048/0.063/0.057,0.048/0.056/0.056,0.000/0.000/0.011
"(80,100)",Lap,Eq,0.061/0.061/0.051,0.067/0.062/0.055,0.066/0.072/0.053,0.005/0.065/0.058
"(80,100)",Lap,Toe,0.047/0.049/0.053,0.052/0.048/0.049,0.056/0.051/0.057,0.000/0.000/0.016
"(120,150)",Gau,Eq,0.049/0.054/0.058,0.053/0.053/0.060,0.053/0.058/0.056,0.005/0.051/0.061
"(120,150)",Gau,Toe,0.066/0.051/0.046,0.070/0.057/0.056,0.066/0.057/0.054,0.000/0.000/0.024
"(120,150)",Chi,Eq,0.049/0.054/0.043,0.053/0.052/0.047,0.046/0.049/0.050,0.013/0.046/0.044
"(120,150)",Chi,Toe,0.070/0.066/0.061,0.075/0.068/0.061,0.070/0.066/0.061,0.000/0.000/0.020
"(120,150)",Lap,Eq,0.044/0.050/0.039,0.046/0.051/0.042,0.052/0.050/0.042,0.006/0.048/0.041
"(120,150)",Lap,Toe,0.050/0.048/0.049,0.054/0.053/0.052,0.051/0.052/0.052,0.000/0.000/0.025
